code_module,code_presentation,id_student,gender,age-band,imd-band,high-education,region,prev-attempts,studied-credits,disability,avg-score,final-result,withdrawl
AAA,2013J,268733,M,0-35,30-40%,A Level or Equivalent,East Anglian Region,0,180,N,43,Withdrawn,1
AAA,2013J,271251,M,35-55,80-90%,A Level or Equivalent,Scotland,0,60,N,76.4,Pass,0
AAA,2013J,277880,F,0-35,60-70%,A Level or Equivalent,South East Region,0,60,N,67.66666667,Withdrawn,1
AAA,2013J,279572,M,0-35,40-50%,Lower Than A Level,London Region,0,60,N,79.2,Distinction,0
AAA,2013J,281022,F,0-35,30-40%,A Level or Equivalent,Scotland,0,150,N,73.4,Pass,0
AAA,2013J,281250,M,35-55,70-80%,Lower Than A Level,Wales,0,60,N,55.4,Fail,0
AAA,2013J,281589,M,0-35,30-40%,HE Qualification,North Western Region,0,60,N,0,Fail,0
AAA,2013J,282821,M,35-55,30-40%,A Level or Equivalent,South West Region,0,60,N,60.6,Pass,0
AAA,2013J,286488,M,35-55,90-100%,A Level or Equivalent,South East Region,0,60,N,71,Pass,0
AAA,2013J,287548,M,0-35,90-100%,A Level or Equivalent,East Anglian Region,0,120,N,67.8,Pass,0
AAA,2013J,290201,M,0-35,20-30%,A Level or Equivalent,Wales,0,60,N,70.4,Pass,0
AAA,2013J,290757,M,0-35,30-40%,A Level or Equivalent,North Western Region,0,60,N,75,Pass,0
AAA,2013J,291334,M,35-55,90-100%,A Level or Equivalent,South East Region,0,60,N,83.6,Distinction,0
AAA,2013J,292923,F,35-55,90-100%,A Level or Equivalent,South East Region,0,180,N,0,Withdrawn,1
AAA,2013J,293699,M,0-35,70-80%,A Level or Equivalent,East Midlands Region,0,120,N,46.75,Pass,0
AAA,2013J,294570,M,55<=,90-100%,HE Qualification,South East Region,0,60,N,78.2,Pass,0
AAA,2013J,294594,M,0-35,90-100%,A Level or Equivalent,South East Region,0,60,N,52.8,Pass,0
AAA,2013J,295741,M,35-55,40-50%,A Level or Equivalent,South East Region,0,240,N,50.2,Fail,0
AAA,2013J,296332,M,55<=,90-100%,Post Graduate Qualification,South Region,0,60,N,86.8,Distinction,0
AAA,2013J,298696,F,0-35,80-90%,HE Qualification,South East Region,0,60,N,80.8,Pass,0
AAA,2013J,300398,M,35-55,30-40%,A Level or Equivalent,West Midlands Region,0,60,N,78.8,Pass,0
AAA,2013J,302302,F,0-35,40-50%,A Level or Equivalent,East Anglian Region,0,60,N,58.66666667,Fail,0
AAA,2013J,305152,M,0-35,70-80%,A Level or Equivalent,North Western Region,0,60,N,64,Fail,0
AAA,2013J,305386,M,0-35,70-80%,A Level or Equivalent,West Midlands Region,0,120,Y,78,Pass,0
AAA,2013J,305539,F,0-35,80-90%,Lower Than A Level,Wales,0,120,N,0,Withdrawn,1
AAA,2013J,306107,M,35-55,50-60%,A Level or Equivalent,West Midlands Region,0,120,N,58.2,Pass,0
AAA,2013J,306466,M,35-55,90-100%,A Level or Equivalent,East Anglian Region,0,60,N,82,Pass,0
AAA,2013J,306897,F,0-35,10-20,A Level or Equivalent,London Region,0,60,N,62.6,Pass,0
AAA,2013J,307061,F,0-35,10-20,HE Qualification,East Midlands Region,0,60,N,81.2,Pass,0
AAA,2013J,307866,M,0-35,70-80%,A Level or Equivalent,West Midlands Region,0,60,N,60,Pass,0
AAA,2013J,311917,M,55<=,60-70%,A Level or Equivalent,South West Region,0,120,N,59.2,Pass,0
AAA,2013J,312537,M,55<=,90-100%,Post Graduate Qualification,South Region,0,60,N,87.8,Distinction,0
AAA,2013J,312782,M,0-35,90-100%,A Level or Equivalent,South Region,0,60,N,61.8,Pass,0
AAA,2013J,318933,F,0-35,80-90%,HE Qualification,East Anglian Region,0,120,N,66.6,Pass,0
AAA,2013J,319047,F,0-35,50-60%,A Level or Equivalent,East Midlands Region,0,60,N,78.4,Pass,0
AAA,2013J,321942,M,55<=,90-100%,HE Qualification,South Region,0,60,N,80.4,Pass,0
AAA,2013J,324002,M,35-55,40-50%,HE Qualification,East Anglian Region,0,60,N,80.4,Pass,0
AAA,2013J,324084,F,35-55,10-20,A Level or Equivalent,South West Region,0,60,N,57.6,Pass,0
AAA,2013J,324282,M,0-35,90-100%,A Level or Equivalent,South East Region,0,120,N,61.2,Pass,0
AAA,2013J,331358,F,35-55,90-100%,HE Qualification,South Region,0,60,N,84.66666667,Withdrawn,1
AAA,2013J,332789,F,35-55,60-70%,A Level or Equivalent,East Anglian Region,0,60,N,74.4,Pass,0
AAA,2013J,333059,M,0-35,20-30%,A Level or Equivalent,Scotland,0,120,N,65.8,Pass,0
AAA,2013J,333323,M,0-35,80-90%,HE Qualification,Scotland,0,60,N,74.4,Pass,0
AAA,2013J,334259,F,0-35,50-60%,A Level or Equivalent,London Region,0,150,N,53,Fail,0
AAA,2013J,334333,F,0-35,0-10%,A Level or Equivalent,South West Region,0,240,Y,36,Withdrawn,1
AAA,2013J,335764,F,0-35,20-30%,A Level or Equivalent,South East Region,0,60,N,86.875,Withdrawn,1
AAA,2013J,336207,M,0-35,90-100%,A Level or Equivalent,East Anglian Region,0,120,N,68.2,Pass,0
AAA,2013J,339972,M,0-35,80-90%,A Level or Equivalent,North Region,0,60,N,49.8,Pass,0
AAA,2013J,341872,M,0-35,40-50%,Lower Than A Level,East Anglian Region,0,180,N,64.2,Fail,0
AAA,2013J,342007,F,0-35,70-80%,HE Qualification,West Midlands Region,0,60,N,82.33333333,Withdrawn,1
AAA,2013J,342514,M,55<=,50-60%,Lower Than A Level,Scotland,0,60,N,77.2,Pass,0
AAA,2013J,342972,M,0-35,0-10%,HE Qualification,Yorkshire Region,0,60,N,60.4,Pass,0
AAA,2013J,343446,M,35-55,70-80%,HE Qualification,Ireland,0,120,N,78.4,Pass,0
AAA,2013J,344282,M,0-35,10-20,A Level or Equivalent,Yorkshire Region,0,60,N,49.2,Fail,0
AAA,2013J,345068,M,0-35,60-70%,A Level or Equivalent,East Anglian Region,0,180,Y,78,Pass,0
AAA,2013J,345357,M,0-35,30-40%,A Level or Equivalent,Yorkshire Region,0,60,N,80.4,Distinction,0
AAA,2013J,346025,M,0-35,50-60%,A Level or Equivalent,East Anglian Region,0,120,N,82.4,Pass,0
AAA,2013J,346843,F,35-55,50-60%,HE Qualification,Scotland,0,120,N,0,Fail,0
AAA,2013J,350188,M,35-55,80-90%,HE Qualification,North Western Region,0,60,N,73.8,Pass,0
AAA,2013J,354858,M,35-55,90-100%,HE Qualification,South Region,0,120,N,0,Withdrawn,1
AAA,2013J,357668,M,0-35,10-20,A Level or Equivalent,Yorkshire Region,0,60,N,57,Fail,0
AAA,2013J,364177,M,35-55,70-80%,Lower Than A Level,East Anglian Region,0,60,N,69,Fail,0
AAA,2013J,365244,F,0-35,0-10%,A Level or Equivalent,London Region,0,120,N,56.4,Pass,0
AAA,2013J,365642,M,35-55,10-20,Lower Than A Level,East Anglian Region,0,60,N,70,Pass,0
AAA,2013J,366483,M,0-35,40-50%,HE Qualification,South West Region,0,60,N,76.8,Pass,0
AAA,2013J,368194,F,0-35,50-60%,A Level or Equivalent,South West Region,0,120,Y,50.4,Pass,0
AAA,2013J,368824,M,35-55,50-60%,HE Qualification,Wales,0,120,N,55.6,Fail,0
AAA,2013J,368963,M,0-35,0-10%,Lower Than A Level,Yorkshire Region,0,180,N,66.4,Pass,0
AAA,2013J,376439,M,0-35,,HE Qualification,North Region,0,60,N,87,Distinction,0
AAA,2013J,376581,F,35-55,80-90%,A Level or Equivalent,South Region,0,60,N,72.8,Pass,0
AAA,2013J,380953,M,0-35,80-90%,A Level or Equivalent,East Midlands Region,0,60,N,67.8,Pass,0
AAA,2013J,383254,M,0-35,90-100%,A Level or Equivalent,Yorkshire Region,0,120,N,75.6,Pass,0
AAA,2013J,386924,M,0-35,,Lower Than A Level,Ireland,0,120,N,67.8,Pass,0
AAA,2013J,386952,M,0-35,70-80%,A Level or Equivalent,Yorkshire Region,0,120,N,68,Pass,0
AAA,2013J,388722,F,35-55,80-90%,Lower Than A Level,London Region,0,60,N,63.8,Pass,0
AAA,2013J,388885,M,35-55,90-100%,A Level or Equivalent,South West Region,0,60,N,60.6,Pass,0
AAA,2013J,390890,M,0-35,0-10%,A Level or Equivalent,Scotland,0,90,N,68.625,Withdrawn,1
AAA,2013J,392756,M,0-35,70-80%,A Level or Equivalent,West Midlands Region,0,120,N,45,Fail,0
AAA,2013J,392931,F,35-55,50-60%,A Level or Equivalent,North Western Region,0,120,N,68.4,Pass,0
AAA,2013J,393207,M,0-35,60-70%,A Level or Equivalent,North Western Region,0,60,N,74.2,Pass,0
AAA,2013J,396872,M,0-35,50-60%,HE Qualification,Yorkshire Region,0,180,N,61.4,Pass,0
AAA,2013J,398552,M,0-35,90-100%,Lower Than A Level,Yorkshire Region,0,240,N,46.4,Fail,0
AAA,2013J,401869,F,0-35,80-90%,Lower Than A Level,South East Region,0,60,N,65,Pass,0
AAA,2013J,402470,M,35-55,50-60%,Lower Than A Level,South West Region,0,60,N,72.6,Pass,0
AAA,2013J,404804,M,35-55,20-30%,Lower Than A Level,Wales,0,120,N,43.8,Pass,0
AAA,2013J,405088,M,0-35,20-30%,A Level or Equivalent,North Region,0,120,N,77.2,Pass,0
AAA,2013J,405961,M,0-35,90-100%,A Level or Equivalent,Scotland,0,240,Y,0,Withdrawn,1
AAA,2013J,414117,M,0-35,50-60%,A Level or Equivalent,Yorkshire Region,0,120,N,76.4,Pass,0
AAA,2013J,415969,M,35-55,0-10%,HE Qualification,West Midlands Region,0,90,N,59.66666667,Withdrawn,1
AAA,2013J,420087,M,0-35,40-50%,A Level or Equivalent,Scotland,0,60,Y,76,Fail,0
AAA,2013J,429958,F,0-35,70-80%,A Level or Equivalent,North Western Region,0,60,N,58.4,Pass,0
AAA,2013J,441018,F,0-35,70-80%,A Level or Equivalent,South East Region,0,150,N,59.8,Pass,0
AAA,2013J,441888,M,0-35,20-30%,A Level or Equivalent,London Region,0,120,N,70.6,Pass,0
AAA,2013J,442442,M,0-35,80-90%,HE Qualification,South West Region,0,120,N,40.5,Withdrawn,1
AAA,2013J,444677,M,0-35,30-40%,HE Qualification,London Region,0,60,N,87.6,Distinction,0
AAA,2013J,470588,M,35-55,90-100%,HE Qualification,South East Region,0,60,N,79.33333333,Withdrawn,1
AAA,2013J,489455,F,0-35,20-30%,A Level or Equivalent,South West Region,0,60,N,70.6,Pass,0
AAA,2013J,494424,F,0-35,80-90%,A Level or Equivalent,North Region,0,60,N,0,Fail,0
AAA,2013J,495284,M,0-35,80-90%,HE Qualification,South East Region,0,120,N,66.6,Pass,0
AAA,2013J,498857,M,35-55,80-90%,HE Qualification,North Western Region,0,60,N,73,Pass,0
AAA,2013J,508818,M,0-35,40-50%,A Level or Equivalent,London Region,0,120,N,71.8,Pass,0
AAA,2013J,512460,M,0-35,90-100%,HE Qualification,South East Region,0,120,N,72.4,Pass,0
AAA,2013J,544103,M,0-35,40-50%,HE Qualification,North Western Region,0,120,N,81,Pass,0
AAA,2013J,550383,M,0-35,60-70%,HE Qualification,South East Region,0,60,N,72,Pass,0
AAA,2013J,564450,M,0-35,80-90%,HE Qualification,West Midlands Region,0,120,N,59.2,Fail,0
AAA,2013J,568601,F,0-35,30-40%,HE Qualification,Scotland,0,60,N,81.5,Withdrawn,1
AAA,2013J,572652,M,0-35,70-80%,HE Qualification,West Midlands Region,0,120,N,73.2,Pass,0
AAA,2013J,580389,M,0-35,90-100%,HE Qualification,Ireland,0,120,N,71.4,Pass,0
AAA,2013J,581129,M,0-35,30-40%,A Level or Equivalent,East Anglian Region,0,120,N,40,Fail,0
AAA,2013J,588775,M,0-35,90-100%,A Level or Equivalent,South West Region,0,120,N,82.8,Pass,0
AAA,2013J,591774,M,35-55,90-100%,Post Graduate Qualification,South Region,0,60,N,76.2,Pass,0
AAA,2013J,603861,M,55<=,,HE Qualification,North Region,0,60,N,63,Withdrawn,1
AAA,2013J,606143,M,35-55,90-100%,Post Graduate Qualification,Scotland,0,60,N,66,Fail,0
AAA,2013J,704156,M,55<=,90-100%,HE Qualification,South Region,0,120,N,66,Pass,0
AAA,2013J,705379,M,55<=,60-70%,A Level or Equivalent,West Midlands Region,0,120,N,80.8,Distinction,0
AAA,2013J,721259,F,55<=,50-60%,Lower Than A Level,South Region,0,120,N,65,Withdrawn,1
AAA,2013J,749412,M,55<=,70-80%,Lower Than A Level,South Region,0,60,N,72,Pass,0
AAA,2013J,760729,M,55<=,60-70%,A Level or Equivalent,West Midlands Region,0,60,N,81.2,Distinction,0
AAA,2013J,905042,F,35-55,90-100%,A Level or Equivalent,East Anglian Region,0,60,N,76.4,Pass,0
AAA,2013J,949618,F,35-55,50-60%,A Level or Equivalent,South West Region,0,60,N,61.8,Pass,0
AAA,2013J,958987,M,35-55,40-50%,HE Qualification,North Western Region,0,60,N,77.2,Pass,0
AAA,2013J,968578,F,35-55,40-50%,A Level or Equivalent,East Anglian Region,0,60,N,72,Pass,0
AAA,2013J,969076,M,35-55,80-90%,A Level or Equivalent,South West Region,0,180,N,59.75,Withdrawn,1
AAA,2013J,971027,F,35-55,90-100%,HE Qualification,West Midlands Region,0,60,N,68,Pass,0
AAA,2013J,978739,M,35-55,90-100%,HE Qualification,South Region,0,60,N,56.6,Pass,0
AAA,2013J,1035023,F,35-55,30-40%,Lower Than A Level,London Region,0,60,N,70,Pass,0
AAA,2013J,1105478,M,55<=,80-90%,HE Qualification,Scotland,0,60,N,82.6,Pass,0
AAA,2013J,1352868,M,35-55,20-30%,A Level or Equivalent,Yorkshire Region,0,60,N,68.57142857,Withdrawn,1
AAA,2013J,1401935,M,35-55,70-80%,A Level or Equivalent,West Midlands Region,0,60,N,35,Fail,0
AAA,2013J,1402638,F,35-55,30-40%,HE Qualification,East Midlands Region,0,60,N,75.2,Pass,0
AAA,2013J,1414443,F,35-55,10-20,A Level or Equivalent,Yorkshire Region,0,120,N,59,Fail,0
AAA,2013J,1456619,M,35-55,90-100%,A Level or Equivalent,South West Region,0,60,N,63,Withdrawn,1
AAA,2013J,1465690,M,35-55,40-50%,HE Qualification,West Midlands Region,0,120,N,81.8,Pass,0
AAA,2013J,1472925,F,35-55,40-50%,Lower Than A Level,East Anglian Region,0,60,Y,61.9,Fail,0
AAA,2013J,1488959,M,35-55,70-80%,A Level or Equivalent,London Region,0,60,N,61.8,Pass,0
AAA,2013J,1518989,F,35-55,80-90%,Lower Than A Level,South East Region,0,60,N,73,Pass,0
AAA,2013J,1618738,M,35-55,90-100%,Lower Than A Level,London Region,0,60,N,79.6,Pass,0
AAA,2013J,1620151,M,35-55,90-100%,HE Qualification,South Region,0,60,N,77.5,Fail,0
AAA,2013J,1626710,M,35-55,60-70%,A Level or Equivalent,North Western Region,0,60,N,84.6,Distinction,0
AAA,2013J,1640609,M,35-55,30-40%,A Level or Equivalent,West Midlands Region,0,60,N,85,Pass,0
AAA,2013J,1686521,F,35-55,50-60%,Lower Than A Level,North Western Region,0,60,N,68,Withdrawn,1
AAA,2013J,1729319,F,35-55,40-50%,HE Qualification,Scotland,0,60,N,78.2,Pass,0
AAA,2013J,1746134,M,35-55,60-70%,A Level or Equivalent,East Anglian Region,0,60,N,83.8,Pass,0
AAA,2013J,1758449,M,35-55,30-40%,Lower Than A Level,South Region,0,75,N,61,Withdrawn,1
AAA,2013J,1763015,F,35-55,10-20,A Level or Equivalent,Scotland,0,60,N,0,Withdrawn,1
AAA,2013J,1765788,M,55<=,70-80%,HE Qualification,South East Region,0,60,N,66.2,Pass,0
AAA,2013J,1801229,M,35-55,,HE Qualification,Ireland,0,60,N,76.8,Pass,0
AAA,2013J,1801641,M,35-55,30-40%,A Level or Equivalent,Scotland,0,60,N,77.4,Pass,0
AAA,2013J,1847830,M,35-55,40-50%,Lower Than A Level,South West Region,0,60,N,71,Pass,0
AAA,2013J,1860318,M,35-55,40-50%,Lower Than A Level,South West Region,0,300,Y,62.6,Pass,0
